"ENSEMBL","Symbol","LOG2FC","PVAL","ADJP"
"ENSMUSG00000000168","Dlat","-1.80108987","3.8603496532480896e-15","2.2681119219448702e-12"
"ENSMUSG00000000903","Vpreb3","3.0025918759","6.47691231812381e-13","1.69640478173125e-10"
"ENSMUSG00000001123","Lgals9","-1.2399611003","1.25629492687657e-12","2.9685429799314996e-10"
"ENSMUSG00000001467","Cyp51","-1.9862981303","2.93330718600153e-11","4.6545375851450505e-09"
"ENSMUSG00000003316","Glg1","-0.7235305293","2.4941075778976096e-12","5.53259230978736e-10"
"ENSMUSG00000003477","Inmt","1.4296071305","2.75385909205075e-12","5.92734087149419e-10"
"ENSMUSG00000006273","Atp6v1b2","-0.593454791","6.166464077938311e-15","3.20849958716612e-12"
"ENSMUSG00000006462","A530013C23Rik","2.2061820891","1.07145023663704e-13","3.60836069723705e-11"
"ENSMUSG00000008683","Rps15a","1.6854729059","3.655466446035971e-11","5.67615607645543e-09"
"ENSMUSG00000009090","Ap1b1","-0.8698996586","7.477806627548449e-12","1.3894020365493697e-09"
"ENSMUSG00000009647","Mcu","-1.0251013851","1.10340338808748e-14","5.45156505764403e-12"
"ENSMUSG00000017428","Psmd11","-1.2827140977","1.0024481962395899e-15","7.514559082087049e-13"
"ENSMUSG00000019302","Atp6v0a1","-0.7353790368","2.3274149529972e-12","5.216048831258369e-10"
"ENSMUSG00000020038","Cry1","1.8078317309","4.98406488585929e-11","7.47231631404794e-09"
"ENSMUSG00000020097","Sgpl1","-0.9508669321","4.55992610341941e-15","2.5417495785188303e-12"
"ENSMUSG00000020142","Slc1a4","-1.8123447114","1.21575107362473e-11","2.1143370071622503e-09"
"ENSMUSG00000020532","Acaca","-2.1381793719","2.3554227821797802e-11","3.8499651023914505e-09"
"ENSMUSG00000020620","Abca8b","-1.2174278201","3.7479838709182896e-12","7.54420568239748e-10"
"ENSMUSG00000020672","Sntg2","1.0260409433","1.29553980993189e-11","2.23521745461185e-09"
"ENSMUSG00000021823","Vcl","-0.7087434828","5.843768333732641e-14","2.3097759964911602e-11"
"ENSMUSG00000022025","Cnmd","1.6264804795","1.0650772552563902e-13","3.60836069723705e-11"
"ENSMUSG00000022351","Sqle","-2.8808901328","2.7143497248347e-14","1.15280950135801e-11"
"ENSMUSG00000022364","Tbc1d31","-1.6090048268","2.9475998323449305e-15","1.83079636443847e-12"
"ENSMUSG00000022883","Robo1","-1.4073233491","7.95027298994629e-12","1.4523612145247302e-09"
"ENSMUSG00000022885","St6gal1","-1.3034677864","1.07267133380769e-15","7.77293404188178e-13"
"ENSMUSG00000024747","Aldh1a7","-1.6141856843","2.29857176247441e-13","6.845020759511131e-11"
"ENSMUSG00000024924","Vldlr","-1.8863521407","4.71042584971876e-11","7.160835492799741e-09"
"ENSMUSG00000024981","Acsl5","-1.8347101966","3.31958754542536e-12","6.87499567912414e-10"
"ENSMUSG00000025224","Gbf1","-0.6428557128","8.8227312994908e-14","3.14421894622345e-11"
"ENSMUSG00000025314","Ptprj","-0.8473347669","1.11411791435397e-12","2.6615175099056e-10"
"ENSMUSG00000025369","Smarcc2","-0.7211214818","3.667376088099391e-12","7.45094287656006e-10"
"ENSMUSG00000026083","Eif5b","-1.2437219109","5.448105715305991e-12","1.0481094703100599e-09"
"ENSMUSG00000026229","Psmd1","-0.8216666354","1.2960295399095602e-12","3.0295038890423597e-10"
"ENSMUSG00000026315","Serpinb8","-1.4192431437","1.0351015597556801e-11","1.81468329092974e-09"
"ENSMUSG00000026691","Fmo3","2.0495726373","8.459601414581531e-14","3.0650545858598e-11"
"ENSMUSG00000026866","Kynu","-1.3856687477","2.8325331311153398e-15","1.8110716981563702e-12"
"ENSMUSG00000026880","Stom","-1.0503961904","1.8956934524027302e-11","3.1220060577108197e-09"
