"","condition"
"GSM4613909","Nrf2KO...Space.Flight...Temporal.Bone"
"GSM4613910","Nrf2KO...Ground.control...Temporal.Bone"
"GSM4613912","Nrf2KO...Ground.control...Temporal.Bone"
"GSM4613911","Nrf2KO...Space.Flight...Temporal.Bone"
"GSM4613913","Wild.Type...Space.Flight...Temporal.Bone"
"GSM4613914","Wild.Type...Ground.control...Temporal.Bone"
"GSM4613915","Nrf2KO...Space.Flight...Temporal.Bone"
"GSM4613916","Nrf2KO...Ground.control...Temporal.Bone"
"GSM4613917","Wild.Type...Space.Flight...Temporal.Bone"
"GSM4613918","Wild.Type...Ground.control...Temporal.Bone"
"GSM4613919","Wild.Type...Space.Flight...Temporal.Bone"
"GSM4613920","Wild.Type...Ground.control...Temporal.Bone"
"GSM4613921","Wild.Type...Space.Flight...Mandibular.bone"
"GSM4613922","Wild.Type...Space.Flight...Mandibular.bone"
"GSM4613923","Wild.Type...Space.Flight...Mandibular.bone"
"GSM4613924","Nrf2KO...Space.Flight...Mandibular.bone"
"GSM4613925","Nrf2KO...Space.Flight...Mandibular.bone"
"GSM4613926","Nrf2KO...Space.Flight...Mandibular.bone"
"GSM4613927","Wild.Type...Ground.control...Mandibular.bone"
"GSM4613928","Wild.Type...Ground.control...Mandibular.bone"
"GSM4613929","Wild.Type...Ground.control...Mandibular.bone"
"GSM4613930","Nrf2KO...Ground.control...Mandibular.bone"
"GSM4613931","Nrf2KO...Ground.control...Mandibular.bone"
"GSM4613932","Nrf2KO...Ground.control...Mandibular.bone"
"GSM4613933","Nrf2KO...Space.Flight...spleen"
"GSM4613934","Nrf2KO...Space.Flight...spleen"
"GSM4613935","Wild.Type...Space.Flight...spleen"
"GSM4613936","Nrf2KO...Space.Flight...spleen"
"GSM4613937","Wild.Type...Space.Flight...spleen"
"GSM4613938","Wild.Type...Space.Flight...spleen"
"GSM4613939","Wild.Type...Space.Flight...spleen"
"GSM4613940","Wild.Type...Space.Flight...spleen"
"GSM4613941","Nrf2KO...Space.Flight...spleen"
"GSM4613942","Wild.Type...Space.Flight...spleen"
"GSM4613943","Nrf2KO...Space.Flight...spleen"
"GSM4613944","Nrf2KO...Space.Flight...spleen"
"GSM4613945","Nrf2KO...Ground.control...spleen"
"GSM4613946","Nrf2KO...Ground.control...spleen"
"GSM4613947","Wild.Type...Ground.control...spleen"
"GSM4613948","Nrf2KO...Ground.control...spleen"
"GSM4613949","Wild.Type...Ground.control...spleen"
"GSM4613950","Wild.Type...Ground.control...spleen"
"GSM4613951","Wild.Type...Ground.control...spleen"
