"ENSEMBL","Symbol","LOG2FC","PVAL","ADJP"
"ENSMUSG00000004038","Gstm3","2.1957567437","4.256123498976371e-13","9.43739384273023e-11"
"ENSMUSG00000006517","Mvd","1.7459036173","6.244431560988491e-14","1.4297712046980698e-11"
"ENSMUSG00000010025","Aldh3a2","-0.6669810875","4.85084197050203e-11","8.586805555346658e-09"
"ENSMUSG00000018042","Cyb5r3","0.590397371","7.276408248633291e-13","1.58018082224186e-10"
"ENSMUSG00000020776","Fbf1","-1.5501105517","3.20926137370047e-12","6.56340687737867e-10"
"ENSMUSG00000021226","Acot2","-1.9202218052","1.1151571577416301e-11","2.1551179383327896e-09"
"ENSMUSG00000022351","Sqle","2.5754397043","1.2363041182525199e-15","2.9934191093091306e-13"
"ENSMUSG00000022454","Nell2","9.3145957869","1.42514816419542e-12","3.00207460787766e-10"
"ENSMUSG00000025141","Myadml2","-10.8912514175","2.51752025790136e-15","5.958602722774399e-13"
"ENSMUSG00000026000","Lancl1","0.9007675119","2.98664171946943e-11","5.47074850614118e-09"
"ENSMUSG00000026989","Dapl1","8.6605984268","7.872242034988001e-12","1.53545165247243e-09"
"ENSMUSG00000027533","Fabp5","1.3671551183","3.3857161481498e-11","6.14828540179099e-09"
"ENSMUSG00000027605","Acss2","1.3488868292","1.59644527986681e-11","3.02965043426975e-09"
"ENSMUSG00000030643","Rab30","-1.506022875","9.40153916043941e-13","2.00043861024905e-10"
"ENSMUSG00000031710","Ucp1","-10.3407170807","7.74525138557076e-12","1.52480112557989e-09"
"ENSMUSG00000032080","Apoa4","-3.7649047537","1.54254261610216e-11","2.9539691098356395e-09"
"ENSMUSG00000032098","Treh","-1.7212249258","5.6813563874078e-15","1.31514035495325e-12"
"ENSMUSG00000033105","Lss","1.6080220881","4.4156511384787e-12","8.858637260195609e-10"
"ENSMUSG00000036913","Trim67","9.7160402951","6.809364718487961e-14","1.54235771822526e-11"
"ENSMUSG00000037071","Scd1","2.8388088742","2.71045646199932e-12","5.59762405607997e-10"
"ENSMUSG00000037440","Vnn1","-2.0781776504","8.71859461407758e-13","1.87405301577086e-10"
"ENSMUSG00000040562","Gstm2","1.2088297898","3.85384097760709e-15","9.020128910365931e-13"
"ENSMUSG00000041939","Mvk","1.3929264924","2.4871517257017197e-15","5.953619443398491e-13"
"ENSMUSG00000042632","Pla2g6","-0.8262767611","1.7395217020565901e-12","3.62802224295269e-10"
"ENSMUSG00000042745","Id1","-1.5873372432","4.096397743486921e-11","7.375266535602741e-09"
"ENSMUSG00000044254","Pcsk9","2.4207202915","4.340654092192661e-11","7.748803258647321e-09"
"ENSMUSG00000057982","Zfp809","0.7282840277","4.79315400051516e-13","1.05174780230054e-10"
"ENSMUSG00000059213","Ddn","-8.7437111999","3.71669348704813e-12","7.52809118314124e-10"
"ENSMUSG00000068762","Gstm6","0.9761039671","2.3027395296231897e-11","4.292673291284289e-09"
"ENSMUSG00000081053","nan","-10.4327144567","5.03432917371238e-12","1.00045418909671e-09"
"ENSMUSG00000083287","nan","2.5536385789","3.41198100826285e-13","7.64610424883585e-11"
"ENSMUSG00000093930","Hmgcs1","1.7522540537","2.36148618337833e-11","4.36357074147935e-09"
"ENSMUSG00000118012","nan","1.0034733908","1.8583064176666505e-11","3.49510934715607e-09"
"ENSMUSG00000063063","Ctnna2","-33.8842774071","1.021115026842269e-187","2.1509788040432382e-183"
"ENSMUSG00000032033","Barx2","-38.079627306","2.023089987485018e-185","2.130819529318598e-181"
"ENSMUSG00000081683","Fzd10","-35.4709974608","1.359498911905989e-181","9.545948193099862e-178"
"ENSMUSG00000051397","Tacstd2","36.8106594077","3.4616436781511074e-177","1.8229881020063287e-173"
"ENSMUSG00000043333","Rhbdl2","-35.8018658186","3.769685840618918e-173","1.5881686446527488e-169"
"ENSMUSG00000026167","Wnt10a","-36.7561923462","8.259524372588756e-171","2.899781348476368e-167"
"ENSMUSG00000038402","Foxf2","-35.7606826222","1.7948576139526286e-168","5.401239376844597e-165"
"ENSMUSG00000031376","Atp2b3","34.7360633373","8.645629585650995e-146","2.2765023402717283e-142"
"ENSMUSG00000044816","D630023F18Rik","31.4079047548","4.853837110147567e-135","1.136067541391759e-131"
"ENSMUSG00000044748","Defb1","-28.8928110545","8.210534275444815e-134","1.729549045122449e-130"
"ENSMUSG00000063446","Plppr1","-27.4353139255","1.392147678665969e-124","2.6659628046453284e-121"
"ENSMUSG00000030873","Scnn1b","-29.7861630699","2.5500343313083084e-121","4.476372765750797e-118"
