"ENSEMBL","Symbol","LOG2FC","PVAL","ADJP"
"ENSMUSG00000000001","Gnai3","0.7261193848","1.0043030297978901e-15","3.9623462259716795e-15"
"ENSMUSG00000000126","Wnt9a","-2.209758285","5.617134341291999e-15","2.1447662061504904e-14"
"ENSMUSG00000000214","Th","-7.9984389037","2.08636335356824e-15","8.10691166052323e-15"
"ENSMUSG00000000318","Clec10a","2.9866022095","1.6428983249463102e-14","6.17690568701344e-14"
"ENSMUSG00000000346","Dazap2","0.4137747233","1.4523947487652999e-13","5.23360332286373e-13"
"ENSMUSG00000000359","Rem1","2.6675131825","1.1357208674624e-11","3.7687939567389207e-11"
"ENSMUSG00000000439","Mkrn2","0.7318418957","1.1619213915706698e-12","4.0247819174416295e-12"
"ENSMUSG00000000690","Hoxb6","7.8422356027","3.3664278273088797e-15","1.2980780938116001e-14"
"ENSMUSG00000000739","Sult5a1","4.7200508008","1.0606520919254302e-11","3.5239012595275104e-11"
"ENSMUSG00000000823","Zfp512b","-1.2665784798","3.34106759808263e-14","1.23902763613303e-13"
"ENSMUSG00000000838","Fmr1","-0.8821284896","1.7897811353913798e-11","5.876652906307579e-11"
"ENSMUSG00000001240","Ramp2","1.1428734316","4.76277864854241e-15","1.82458043212292e-14"
"ENSMUSG00000001280","Sp1","0.9069439025","5.783655792916821e-13","2.0323408825287502e-12"
"ENSMUSG00000001300","Efnb2","-1.1829525044","3.3658584689533697e-13","1.1954660228101299e-12"
"ENSMUSG00000001493","Meox1","2.2300783993","1.7861846423867198e-11","5.86553848462624e-11"
"ENSMUSG00000001521","Tulp3","-1.3312058385","1.1705341481540301e-11","3.881532105298029e-11"
"ENSMUSG00000001576","Ergic1","0.8334340583","2.90955633905787e-14","1.0821863786849902e-13"
"ENSMUSG00000001827","Folr1","-5.5635890455","2.38741907398949e-11","7.792832598855541e-11"
"ENSMUSG00000001847","Rac1","-0.3308905299","3.51855283246318e-13","1.24873953352788e-12"
"ENSMUSG00000001901","Kcnh6","-6.1382865155","7.822017824997708e-12","2.6119229177945397e-11"
"ENSMUSG00000002007","Srpk3","-4.5622375366","3.71738228786918e-11","1.19984224403152e-10"
"ENSMUSG00000002033","Cd3g","6.3890763014","1.1815553685949598e-12","4.091259018838241e-12"
"ENSMUSG00000002052","Supt6","-0.6744587206","1.7368530815249e-14","6.523078230884151e-14"
"ENSMUSG00000002068","Ccne1","-1.9582365391","1.1891508683043698e-13","4.3045988617434704e-13"
"ENSMUSG00000002129","Sf3a1","-0.6775162471","2.14312849383505e-13","7.6717748019922e-13"
"ENSMUSG00000002308","Cd320","0.9847937801","1.10602234662593e-12","3.83402646457879e-12"
"ENSMUSG00000002324","Rec8","-5.9142618109","1.1333942616267401e-11","3.76152341592063e-11"
"ENSMUSG00000002343","Armc6","-1.180967469","7.29691630798888e-15","2.77506970725655e-14"
"ENSMUSG00000002489","Tiam1","-2.144035478","1.19941100321871e-12","4.15256753324112e-12"
"ENSMUSG00000002496","Tsc2","0.7798524295","2.96846493305147e-11","9.64403344931856e-11"
"ENSMUSG00000002524","Puf60","-0.5115845436","2.0465015605338302e-15","7.955366032621821e-15"
"ENSMUSG00000002661","Alkbh7","1.1487540446","4.20115410457842e-14","1.5503181054979199e-13"
"ENSMUSG00000002797","Ggct","-1.3711791642","7.14630301467415e-15","2.72002848206071e-14"
"ENSMUSG00000002803","Btbd6","-0.90618275","6.348130524265981e-12","2.128219967347e-11"
"ENSMUSG00000002847","Pla1a","2.433185291","1.28619025810166e-13","4.64798387251435e-13"
"ENSMUSG00000002897","Il17ra","-1.4730906645","2.9453253961828995e-13","1.0489246678688101e-12"
"ENSMUSG00000002984","Tomm40","0.7345859063","1.88381536941092e-11","6.17663369880631e-11"
"ENSMUSG00000002985","Apoe","-1.3216852009","4.20469819881483e-15","1.6163666544154798e-14"
"ENSMUSG00000003038","Hmgn2","-1.6760502047","6.585477874802321e-13","2.30795491500086e-12"
"ENSMUSG00000003070","Efna2","-2.025645643","8.96501394516427e-14","3.2635569273732694e-13"
"ENSMUSG00000003269","Cyth2","-0.8136102215","3.40180896440548e-14","1.26037362993845e-13"
"ENSMUSG00000003271","Sult2b1|Gm5897","-6.6924767828","3.8205748562992204e-14","1.4125074245419297e-13"
"ENSMUSG00000003354","Ccdc65","-6.6400227867","3.12443798879469e-14","1.1603979416801198e-13"
"ENSMUSG00000003545","Fosb","-3.8689247201","1.38624293860932e-15","5.43829242799739e-15"
"ENSMUSG00000003617","Cp","1.9324839332","1.75026892724427e-14","6.5725738510952e-14"
"ENSMUSG00000003680","Taf6l|Gm2518","1.1992465471","4.4177903260638796e-12","1.4915286257901597e-11"
"ENSMUSG00000003849","Nqo1","-2.832598613","2.31002291172532e-12","7.91958899591626e-12"
"ENSMUSG00000003873","Bax","-0.7868345126","8.74590654565614e-12","2.91551244529554e-11"
"ENSMUSG00000004233","Wars2","1.3830943345","1.7268827897063502e-13","6.2025532345728e-13"
"ENSMUSG00000004317","Clcn5","-1.4244086437","2.58036217045934e-12","8.821326887472689e-12"
"ENSMUSG00000004364","Cul3","0.8319468474","1.1959364360498e-13","4.3280320037234796e-13"
"ENSMUSG00000004415","Col26a1","-6.9779507568","1.19065351810586e-11","3.94683281904277e-11"
"ENSMUSG00000004667","Polr2e","0.5764857674","3.1899638047958303e-13","1.13415482352049e-12"
"ENSMUSG00000004768","Rab23","-1.226504369","1.4246376978214801e-11","4.70333959952206e-11"
"ENSMUSG00000005043","Sgsh","1.3405198128","3.5488344414917403e-12","1.20386882851925e-11"
"ENSMUSG00000005150","Wdr83","0.9575959859","1.1006947195428098e-15","4.337093771293139e-15"
"ENSMUSG00000005237","Dnah2","-5.7246003543","2.884064218726e-14","1.0729926068380699e-13"
"ENSMUSG00000005371","Fbxo11","-0.6376359539","1.3436947197623701e-12","4.643985788690179e-12"
"ENSMUSG00000005625","Psmd4","0.6557249972","6.4314509294701904e-12","2.1558926287449197e-11"
"ENSMUSG00000005804","Bloc1s6","0.6051168641","3.0646149155053396e-11","9.94708577209669e-11"
