"ENSEMBL","Symbol","LOG2FC","PVAL","ADJP"
"ENSMUSG00000011118","Panx3","19.1017433916","2.51280685909832e-11","5.84319526698619e-09"
"ENSMUSG00000013418","B4galnt2","-15.2556937076","4.06923257007695e-15","1.0076899564445101e-12"
"ENSMUSG00000028834","Trim63","-11.9263904271","1.51261344010425e-14","3.65095102226681e-12"
"ENSMUSG00000030827","Fgf21","-4.5662929519","2.97986366611872e-15","7.47632110336208e-13"
"ENSMUSG00000031383","Dusp9","-9.322873635","7.276249125086299e-14","1.73429397896432e-11"
"ENSMUSG00000032080","Apoa4","-3.9793514582","1.00098824446786e-12","2.35640047475471e-10"
"ENSMUSG00000035923","Myf6","20.4078616478","8.703178619029077e-15","2.12759243471342e-12"
"ENSMUSG00000043333","Rhbdl2","36.756289425","2.151879321418728e-182","4.1032034900812264e-178"
"ENSMUSG00000051397","Tacstd2","36.6471847073","1.2339280952156487e-175","1.176427045978599e-171"
"ENSMUSG00000086552","Dlx4os","-38.0960574698","1.272229259301229e-162","8.08628917211864e-159"
"ENSMUSG00000004892","Bcan","35.5197784472","2.2243172139813594e-162","1.0603320159049098e-158"
"ENSMUSG00000039579","Grin3a","34.3668460232","5.9411124301847154e-158","2.2657026363752387e-154"
"ENSMUSG00000030873","Scnn1b","30.221870799","7.756855114449616e-125","2.4651285553720887e-121"
"ENSMUSG00000108900","Ccdc194","-34.8210622557","1.1977326290916392e-121","3.262623681645638e-118"
"ENSMUSG00000032291","Crabp1","31.6312983863","2.934766212258118e-116","6.995015266917227e-113"
"ENSMUSG00000036602","Alx1","31.8846235968","1.2603451115160992e-114","2.670251176265449e-111"
"ENSMUSG00000056296","Synpr","31.0945075156","1.0822273148154595e-113","2.0635910438901288e-110"
"ENSMUSG00000067006","Serpinb5","34.1696776817","1.0320142380592497e-112","1.7889497719376193e-109"
"ENSMUSG00000054679","Srsf12","25.3884675968","6.700683189594737e-101","1.0647385588265999e-97"
"ENSMUSG00000025082","Vwa2","28.7839990305","4.775756375237197e-99","7.004932504847917e-96"
