"ENSEMBL","Symbol","LOG2FC","PVAL","ADJP"
"ENSMUSG00000024413","Npc1","-1.1450868673","3.5681655072254e-15","1.14103985978556e-11"
"ENSMUSG00000026687","Aldh9a1","-0.5919001305","5.94781662786704e-12","8.15148268849178e-09"
"ENSMUSG00000027709","Mccc1","-0.8239474244","1.2598051784623199e-11","1.6114587972771e-08"
"ENSMUSG00000031596","Slc7a2","-1.7165032513","6.3277467044939695e-15","1.51763095023907e-11"
"ENSMUSG00000036585","Fgf1","0.8318991239","1.48024678473959e-12","2.36679125489987e-09"
"ENSMUSG00000038754","Elovl3","2.6581351312","5.75665003723846e-15","1.51763095023907e-11"
"ENSMUSG00000039533","Mmd2","-1.6896239913","3.27472571947485e-11","3.69600955173905e-08"
"ENSMUSG00000046805","Mpeg1","-1.0447198119","2.09150002545345e-11","2.5081006867734598e-08"
"ENSMUSG00000055116","Arntl","3.335613083","1.8400839691605e-13","3.92285456847584e-10"
"ENSMUSG00000059060","Rad51b","2.2527924342","4.29857309431169e-12","6.344363227735261e-09"
"ENSMUSG00000060317","Acnat2","1.5642105773","1.19036614016909e-12","2.07632319376585e-09"
"ENSMUSG00000092075","nan","5.4951216123","5.93849104480676e-13","1.1394182767670696e-09"
"ENSMUSG00000004341","Gpx6","-2.0869439748","3.2625724613241197e-23","6.259897781542599e-19"
"ENSMUSG00000083405","nan","36.8127590988","3.2943733291986605e-17","3.16045705336674e-13"
"ENSMUSG00000078452","Raet1a","-2.6481105805","1.56465537130268e-16","8.92580877581845e-13"
"ENSMUSG00000022464","Slc38a4","-1.3138998843","1.8608034139403702e-16","8.92580877581845e-13"
"ENSMUSG00000030244","Gys2","-1.3041354383","3.2121300847141895e-16","1.23262279870822e-12"
"ENSMUSG00000026083","Eif5b","-1.153311661","1.66112844028165e-10","1.77067063242689e-07"
"ENSMUSG00000017132","Cyth1","-1.1922981738","2.70496232462e-10","2.7315848485517897e-07"
"ENSMUSG00000078817","Nlrp12","1.9147964155","3.67799178862844e-10","3.52848142242069e-07"
"ENSMUSG00000021258","Ccnk","-0.8364350098","4.76857883423817e-10","4.35689152821561e-07"
"ENSMUSG00000074254","Cyp2a4","-1.677884642","6.00925299216606e-10","5.24088805275865e-07"
"ENSMUSG00000040127","Sdr9c7","0.8241898099","6.89138017448424e-10","5.748909191644749e-07"
"ENSMUSG00000022723","Crybg3","0.8000916473","1.12547380955519e-09","8.997694159973092e-07"
"ENSMUSG00000049090","Zadh2","-0.9604798383","1.37192465414631e-09","1.0529247335642099e-06"
"ENSMUSG00000040282","Cdin1","-0.8172812606","1.60593473390879e-09","1.18511806690415e-06"
"ENSMUSG00000036985","Zdhhc9","-0.7064883542","2.0543048282129706e-09","1.45984987921934e-06"
"ENSMUSG00000020903","Stx8","-0.4896614055","2.37154497473495e-09","1.62510119393712e-06"
"ENSMUSG00000003316","Glg1","-0.6160730797","2.5691160891915998e-09","1.6355816040881099e-06"
"ENSMUSG00000028186","Uox","-1.1625437489","2.6441055331937303e-09","1.6355816040881099e-06"
"ENSMUSG00000033478","Fam160b1","-0.5120778628","2.70257929721476e-09","1.6355816040881099e-06"
"ENSMUSG00000038507","Parp12","-0.4962319485","2.7278162990993602e-09","1.6355816040881099e-06"
"ENSMUSG00000100733","4933416M06Rik","-1.7750346473","3.0777369556555104e-09","1.7894708778231003e-06"
"ENSMUSG00000005534","Insr","-0.7372106182","3.64822243758993e-09","1.94559017877612e-06"
"ENSMUSG00000026579","F5","-1.0978616928","3.6326144170439602e-09","1.94559017877612e-06"
"ENSMUSG00000074272","Ceacam1","-0.8423830757","3.66240376311185e-09","1.94559017877612e-06"
"ENSMUSG00000022885","St6gal1","-0.9585337483","3.75185472532008e-09","1.94559017877612e-06"
"ENSMUSG00000025991","Cps1","-1.0108755381","4.152680212105639e-09","2.09677566393871e-06"
"ENSMUSG00000038172","Ttc39b","-1.0317676764","7.147630047832e-09","3.51645071096802e-06"
"ENSMUSG00000027478","Dnmt3b","1.7646221164","1.0669538061283e-08","4.999188846336401e-06"
"ENSMUSG00000003555","Cyp17a1","-1.8225056864","1.09537966401928e-08","4.999188846336401e-06"
"ENSMUSG00000060807","Serpina6","-1.2156922348","1.0983537522431e-08","4.999188846336402e-06"
"ENSMUSG00000042638","Gucy2c","-1.5947239036","1.12036858494014e-08","4.999188846336402e-06"
"ENSMUSG00000022877","Hrg","-0.7853022456","1.2892143711937601e-08","5.443032934476821e-06"
"ENSMUSG00000047454","Gphn","-0.5110324084","1.28631944854258e-08","5.443032934476821e-06"
"ENSMUSG00000029369","Afm","-0.695742056","1.3049435293997701e-08","5.443032934476821e-06"
"ENSMUSG00000024843","Chka","1.4552715583","1.34117982638432e-08","5.4751526231565904e-06"
"ENSMUSG00000054469","Lclat1","-0.9705018177","1.4477268249937e-08","5.78698637315713e-06"
"ENSMUSG00000021814","Anxa7","-0.4823107403","1.6860666203839098e-08","6.60215515210328e-06"
"ENSMUSG00000046352","Gjb2","-0.9213625292","2.09008498205698e-08","7.884066064545081e-06"
"ENSMUSG00000021135","Slc10a1","-0.8417432218","2.13555840902479e-08","7.884066064545081e-06"
"ENSMUSG00000046794","Ppp1r3b","1.2768603526","2.15351684838003e-08","7.884066064545081e-06"
"ENSMUSG00000026435","Slc45a3","2.1339915284","2.1919941090841003e-08","7.884066064545081e-06"
"ENSMUSG00000022875","Kng1","-0.6849064346","2.21889595812495e-08","7.884066064545081e-06"
"ENSMUSG00000021416","Eci3","-1.8065118834","2.61417384177517e-08","9.11966427311642e-06"
"ENSMUSG00000023960","Enpp5","-0.7479690336","2.7797246294698197e-08","9.524031511720971e-06"
"ENSMUSG00000085772","D630024D03Rik","-2.1809722728","2.87357664315136e-08","9.67286228985002e-06"
"ENSMUSG00000050931","Sgms2","-0.7468154543","3.0646603771354e-08","9.98327227406521e-06"
"ENSMUSG00000028024","Enpep","-0.9610448694","3.06985492348907e-08","9.98327227406521e-06"
"ENSMUSG00000022766","Serpind1","-0.744759473","3.12616924708444e-08","9.99696822396818e-06"
"ENSMUSG00000042115","Klhdc8a","2.2651735927","3.40107927375507e-08","1.0610198150020199e-05"
"ENSMUSG00000036957","Lrfn3","2.5240123289","3.42853122062465e-08","1.0610198150020199e-05"
"ENSMUSG00000034525","Ice1","0.4183129077","3.6429217084500895e-08","1.0967793429171e-05"
"ENSMUSG00000027187","Cat","-0.5526146031","3.6584081902691695e-08","1.0967793429171e-05"
"ENSMUSG00000060961","Slc4a4","-1.0955501648","3.78573114285693e-08","1.11748959135378e-05"
"ENSMUSG00000042487","Leo1","1.2034159219","4.13939977228936e-08","1.20337368834721e-05"
"ENSMUSG00000037157","Il22ra1","2.389877172","5.24688300545762e-08","1.5025663317270901e-05"
"ENSMUSG00000031604","Msmo1","-1.6302449849","5.358378442068691e-08","1.5119295171760598e-05"
"ENSMUSG00000029368","Alb","-0.6121413655","5.703097081729139e-08","1.58587425662517e-05"
"ENSMUSG00000046179","E2f8","1.4135643117","6.396139189836348e-08","1.75318175193414e-05"
"ENSMUSG00000035299","Mid1","1.3682454748","6.56276353109514e-08","1.77351751931158e-05"
"ENSMUSG00000037085","Trmt12","0.5392091487","7.022247458590549e-08","1.8577437459709694e-05"
"ENSMUSG00000079057","Cyp4v3","-1.0919685478","7.068082214826749e-08","1.8577437459709694e-05"
"ENSMUSG00000055254","Ntrk2","-1.7811592974","7.34962082625008e-08","1.90563749720622e-05"
"ENSMUSG00000030934","Oat","-1.2962576442","8.0412302520346e-08","2.0571611312771698e-05"
"ENSMUSG00000028618","Tmem59","-0.5010915576","8.262234592397241e-08","2.08588809374113e-05"
"ENSMUSG00000053617","Sh3pxd2a","1.1770947869","8.71628506095896e-08","2.17193975928077e-05"
"ENSMUSG00000023044","Csad","1.6992947967","9.29833283717808e-08","2.2872706685504603e-05"
"ENSMUSG00000026342","Slc35f5","-0.7025171219","9.69007444292784e-08","2.35346149792983e-05"
"ENSMUSG00000109764","Klkb1","-0.9172238385","9.880146513143286e-08","2.3696296393460002e-05"
"ENSMUSG00000073792","Alg6","-0.8511873239","1.07254335941238e-07","2.54060363420312e-05"
"ENSMUSG00000030286","Emc3","-0.5240332121","1.0954124102456401e-07","2.56313145309549e-05"
